Country,Year,Continent,Life Expectancy,CO2 Emissions,Health Expenditure %,Adult Mortality,Infant Deaths
Nigeria,2015,Africa,53.11,107760.0021,3.58194971,344,483
Norway,2015,Europe,82.3,39490.00168,10.13146877,59,0
Oman,2015,Asia,76.89,70129.99725,4.3044014,99,1
Pakistan,2015,Asia,66.58,164130.0049,2.68711925,161,352
Panama,2015,North America,77.78,10699.99981,6.8090291,118,1
Papua New Guinea,2015,Oceania,63.47,6510.000229,1.81881714,275,10
Paraguay,2015,South America,73.66,6369.999886,6.70042467,146,2
Peru,2015,South America,75.79,54549.99924,4.97963047,123,8
Philippines,2015,Asia,70.64,111010.0021,3.89827442,211,52
Poland,2015,Europe,77.45,289079.9866,6.39477158,117,2
Portugal,2015,Europe,81.12,49849.99847,9.31645775,76,0
Qatar,2015,Asia,79.76,84779.99878,3.00097346,68,0
Romania,2015,Europe,74.91,73319.99969,4.94721556,133,2
Rwanda,2015,Africa,67.45,980.0000191,6.62107325,227,11
Samoa,2015,Oceania,72.73,239.9999946,5.78755045,125,0
Sao Tome and Principe,2015,Africa,69.38,119.9999973,5.34009647,19,0
Saudi Arabia,2015,Asia,74.65,565190.0024,5.9983449,88,7
Senegal,2015,Africa,66.75,9289.999962,4.38257313,188,19
Serbia,2015,Europe,75.29,45389.99939,8.8132,121,1
Seychelles,2015,Africa,74.3,509.9999905,4.5895319,168,0
Sierra Leone,2015,Africa,52.94,910.0000262,20.413414,413,22
Singapore,2015,Asia,82.74,45430.00031,4.18069839,55,0
Slovenia,2015,Europe,80.78,13140.00034,8.49823952,74,0
Solomon Islands,2015,Oceania,72.17,310.0000024,4.63923359,177,0
South Africa,2015,Africa,62.65,424809.9976,8.79018974,328,42
Spain,2015,Europe,82.83,256279.9988,9.12617207,56,1
Sri Lanka,2015,Asia,76.32,20360.00061,3.88992095,138,3
Sudan,2015,Africa,64.43,18709.99908,7.26747084,225,58
Suriname,2015,South America,71.25,2720.000029,6.21926689,176,0
Sweden,2015,Europe,82.2,39189.99863,10.80418396,53,0
Switzerland,2015,Europe,82.9,39090.00015,11.00794983,49,0
Tajikistan,2015,Asia,70.14,4900.000095,6.9073596,161,10
Tanzania,2015,Africa,63.11,11689.99958,3.64969921,279,85
Thailand,2015,Asia,76.09,264000,3.66788888,148,8
Togo,2015,Africa,59.93,1830.000043,4.9564662,287,13
Tonga,2015,Oceania,70.52,119.9999973,4.68395281,133,0
Trinidad and Tobago,2015,South America,72.94,21329.99992,6.07862949,17,0
Tunisia,2015,Africa,75.92,30479.99954,6.62154102,1,3
Turkmenistan,2015,Asia,67.7,73400.00153,6.29793644,215,6
Uganda,2015,Africa,61.37,4719.99979,5.11239147,291,66
Ukraine,2015,Europe,71.19,191070.0073,7.77609348,195,4
United Arab Emirates,2015,Asia,77.29,195240.0055,3.58359432,75,1
United Kingdom,2015,Europe,80.96,401079.9866,9.90072441,69,3
United States of America,2015,North America,78.69,4990709.961,16.52407265,13,23
Uruguay,2015,South America,77.37,6639.999866,8.29223633,116,0
Uzbekistan,2015,Asia,70.93,99169.99817,4.98760509,184,15
Vanuatu,2015,Oceania,69.87,140.0000006,4.32168341,13,0
Vietnam,2015,Asia,75.11,220649.9939,4.56543732,127,28
Zambia,2015,Africa,61.74,4960.000038,4.43510246,33,27
Zimbabwe,2015,Africa,59.53,12430.00031,7.45206605,336,22
